"","Week","Total A","Total B","Percent Positive A","Percent Positive B ","Total # Tested","% Positive"
"1","201740","227","113","1.47","0.73","15438","2.2"
"2","201741","245","95","1.49","0.57","16440","2.06"
"3","201742","278","110","1.57","0.62","17638","2.19"
"4","201743","332","130","1.86","0.72","17816","2.59"
"5","201744","503","223","2.51","1.11","19973","3.63"
"6","201745","681","242","3.21","1.14","21168","4.36"
"7","201746","933","312","3.95","1.32","23571","5.28"
"8","201747","1318","332","5.67","1.43","23210","7.1"
"9","201748","1508","412","5.68","1.55","26524","7.23"
"10","201749","2176","511","7.83","1.83","27786","9.67"
"11","201750","4416","794","12.73","2.28","34676","15.02"
"12","201751","8733","1633","18.96","3.54","46043","22.51"
"13","201752","11390","1996","21.46","3.76","53071","25.22"
"14","201801","12179","2369","20.76","4.03","58641","24.8"
"15","201802","13792","2941","21.92","4.67","62908","26.59"
"16","201803","12736","3277","21.13","5.43","60259","26.57"
"17","201804","11792","3635","19.91","6.14","59200","26.05"
